Bin_ID,Sample,Day,Treatment
31_bin.8,P505,27,AB
31_bin.9,P505,27,AB
32_bin.13,P510,27,AF
32_bin.15,P510,27,AF
32_bin.16,P510,27,AF
32_bin.17,P510,27,AF
32_bin.20,P510,27,AF
32_bin.21,P510,27,AF
32_bin.23,P510,27,AF
32_bin.24,P510,27,AF
32_bin.29,P510,27,AF
32_bin.31,P510,27,AF
32_bin.34,P510,27,AF
32_bin.35,P510,27,AF
32_bin.37,P510,27,AF
32_bin.38,P510,27,AF
32_bin.4,P510,27,AF
32_bin.44,P510,27,AF
32_bin.51,P510,27,AF
32_bin.52,P510,27,AF
32_bin.53,P510,27,AF
32_bin.55,P510,27,AF
32_bin.56,P510,27,AF
32_bin.57,P510,27,AF
32_bin.6,P510,27,AF
32_bin.8,P510,27,AF
34_bin.10,P525,27,PC
34_bin.11,P525,27,PC
34_bin.13,P525,27,PC
34_bin.16,P525,27,PC
34_bin.17,P525,27,PC
34_bin.18,P525,27,PC
34_bin.19,P525,27,PC
34_bin.2,P525,27,PC
34_bin.20,P525,27,PC
34_bin.22,P525,27,PC
34_bin.25,P525,27,PC
34_bin.26,P525,27,PC
34_bin.27,P525,27,PC
34_bin.28,P525,27,PC
34_bin.29,P525,27,PC
34_bin.3,P525,27,PC
34_bin.31,P525,27,PC
34_bin.32,P525,27,PC
34_bin.34,P525,27,PC
34_bin.36,P525,27,PC
34_bin.38,P525,27,PC
34_bin.4,P525,27,PC
34_bin.40,P525,27,PC
34_bin.41,P525,27,PC
34_bin.42,P525,27,PC
34_bin.43,P525,27,PC
34_bin.44,P525,27,PC
34_bin.45,P525,27,PC
34_bin.46,P525,27,PC
34_bin.49,P525,27,PC
34_bin.52,P525,27,PC
34_bin.57,P525,27,PC
34_bin.7,P525,27,PC
34_bin.8,P525,27,PC
35_bin.3,P530,27,NC
35_bin.8,P530,27,NC
35_bin.9,P530,27,NC
36_bin.12,P605,33,AB
36_bin.19,P605,33,AB
36_bin.2,P605,33,AB
36_bin.21,P605,33,AB
36_bin.22,P605,33,AB
36_bin.24,P605,33,AB
36_bin.25,P605,33,AB
36_bin.26,P605,33,AB
36_bin.3,P605,33,AB
36_bin.30,P605,33,AB
36_bin.31,P605,33,AB
36_bin.32,P605,33,AB
36_bin.38,P605,33,AB
36_bin.39,P605,33,AB
36_bin.43,P605,33,AB
36_bin.44,P605,33,AB
36_bin.45,P605,33,AB
36_bin.46,P605,33,AB
36_bin.47,P605,33,AB
36_bin.48,P605,33,AB
36_bin.6,P605,33,AB
36_bin.7,P605,33,AB
36_bin.9,P605,33,AB
37_bin.11,P610,33,AF
37_bin.14,P610,33,AF
37_bin.17,P610,33,AF
37_bin.2,P610,33,AF
37_bin.31,P610,33,AF
37_bin.32,P610,33,AF
37_bin.33,P610,33,AF
37_bin.38,P610,33,AF
37_bin.39,P610,33,AF
37_bin.40,P610,33,AF
37_bin.48,P610,33,AF
37_bin.49,P610,33,AF
37_bin.5,P610,33,AF
37_bin.52,P610,33,AF
37_bin.55,P610,33,AF
37_bin.57,P610,33,AF
37_bin.58,P610,33,AF
37_bin.59,P610,33,AF
37_bin.60,P610,33,AF
37_bin.7,P610,33,AF
38_bin.1,P615,33,AB+AF
38_bin.10,P615,33,AB+AF
38_bin.12,P615,33,AB+AF
38_bin.15,P615,33,AB+AF
38_bin.18,P615,33,AB+AF
38_bin.2,P615,33,AB+AF
38_bin.22,P615,33,AB+AF
38_bin.23,P615,33,AB+AF
38_bin.24,P615,33,AB+AF
38_bin.26,P615,33,AB+AF
38_bin.28,P615,33,AB+AF
38_bin.29,P615,33,AB+AF
38_bin.3,P615,33,AB+AF
38_bin.31,P615,33,AB+AF
38_bin.32,P615,33,AB+AF
38_bin.35,P615,33,AB+AF
38_bin.36,P615,33,AB+AF
38_bin.38,P615,33,AB+AF
38_bin.40,P615,33,AB+AF
38_bin.42,P615,33,AB+AF
38_bin.43,P615,33,AB+AF
38_bin.44,P615,33,AB+AF
38_bin.45,P615,33,AB+AF
38_bin.48,P615,33,AB+AF
38_bin.5,P615,33,AB+AF
38_bin.52,P615,33,AB+AF
38_bin.54,P615,33,AB+AF
38_bin.7,P615,33,AB+AF
38_bin.9,P615,33,AB+AF
39_bin.11,P625,33,PC
39_bin.13,P625,33,PC
39_bin.15,P625,33,PC
39_bin.16,P625,33,PC
39_bin.18,P625,33,PC
39_bin.19,P625,33,PC
39_bin.2,P625,33,PC
39_bin.20,P625,33,PC
39_bin.23,P625,33,PC
39_bin.24,P625,33,PC
39_bin.25,P625,33,PC
39_bin.29,P625,33,PC
39_bin.31,P625,33,PC
39_bin.33,P625,33,PC
39_bin.35,P625,33,PC
39_bin.36,P625,33,PC
39_bin.40,P625,33,PC
39_bin.43,P625,33,PC
39_bin.46,P625,33,PC
39_bin.48,P625,33,PC
39_bin.49,P625,33,PC
39_bin.50,P625,33,PC
39_bin.51,P625,33,PC
39_bin.52,P625,33,PC
