,D530E11,D510E1,D205A2,D630G3,D630G2,D230B2,D305B6,D530E12,D330C4,D630G1,D405C7,D205A1,D730H6,D510E2,D310B8,D210A4,D725H1,D625F10,D405C9,D815A3,D310B7,D405C8,D530E10,D705G4,D225A11,D325C2,D305B4,D325C1,D225A10,D815A1,D205A3,D815A2,D325C3,D415D2,D305B5,D415D3,D825A4,D725H3,D415D1,D715G11,D515E4,D315B10,D715G10,D525E8,D615F7,D525E7,D710G8,D825A6,D505D12,D615F8,D715G12,D725H2,D510E3,D625F11,D805H7,D525E9,D705G6,D610F6,D705G5,D710G9,D625F12,D515E6,D410C11,D215A8,D710G7,D805H9,D810H11,D605F1,D605F2,D215A9,D315B12,D805H8,D425D6,D215A7,D810H10,D410C10,D515E5,D505D11,D230B3,D830A8,D230B1,D730H4,D330C5,D605F3,D430D7,D330C6,D425D4,D830A7,D730H5,D830A9,D210A6,D430D9,D210A5,D810H12,D505D10
D405C7,0.81887166,0.454021147,0.564345764,0.80891371,0.808339751,0.807223625,0.281066039,0.81586917,0.815306628,0.811109894,0,0.578850325,0.818161878,0.483908719,0.392782678,0.693977966,0.312769629,0.284090909,0.158778873,0.416639724,0.350922077,0.183535109,0.821646258,0.311764706,0.556208592,0.432370128,0.257063356,0.365244425,0.559223095,0.371410167,0.561081081,0.363250845,0.346689522,0.320058124,0.276426219,0.316352303,0.443139778,0.300242001,0.317802765,0.357703473,0.358846072,0.382118148,0.377127915,0.277677144,0.318595856,0.30531494,0.372102913,0.461575078,0.222293402,0.413742842,0.355395381,0.311858026,0.430496151,0.319789395,0.383520162,0.303564728,0.320590136,0.357545196,0.311928078,0.338564902,0.314444563,0.341717075,0.400779041,0.625901537,0.33393781,0.366670232,0.395117782,0.266252544,0.277291177,0.591490723,0.34886461,0.367072389,0.266972184,0.594912458,0.408548655,0.431905404,0.354093846,0.25871814,0.811820021,0.825470677,0.806211316,0.834615385,0.817589577,0.288919756,0.820537844,0.822867042,0.294916341,0.832460733,0.830070268,0.828390167,0.681370723,0.826788991,0.679865029,0.380797005,0.285797285
D205A1,0.714095892,0.649392538,0.144422743,0.686108049,0.689708652,0.693821156,0.466436806,0.697732439,0.708626907,0.684831771,0.578850325,0,0.716541519,0.671539491,0.523814649,0.616237752,0.601628664,0.663069286,0.556181907,0.542801345,0.539757485,0.554086994,0.713053574,0.59829888,0.546041308,0.56662529,0.526610644,0.602201597,0.560576923,0.587462848,0.139638659,0.546609025,0.596742882,0.509020968,0.495348091,0.520584258,0.577157662,0.612906719,0.520229648,0.595627232,0.551650236,0.508839601,0.593983347,0.622975437,0.553220012,0.621487781,0.598137842,0.598679657,0.577063629,0.56701247,0.614044379,0.612690163,0.660602799,0.659724825,0.617412696,0.613404565,0.594644406,0.599179133,0.60502074,0.619609328,0.646109138,0.529430616,0.59359725,0.570436612,0.614067114,0.584472919,0.582620853,0.594716981,0.617849462,0.5495921,0.514125512,0.624032674,0.620641562,0.52440135,0.568528192,0.61091972,0.560507517,0.559742351,0.697473441,0.726470588,0.688854575,0.751161761,0.712505466,0.628482306,0.723580786,0.72411162,0.616638863,0.741129164,0.734542902,0.742004151,0.596336172,0.734156509,0.567478639,0.618868128,0.5690361
D730H6,0.22645313,0.872703555,0.740838271,0.216659233,0.238543417,0.33705981,0.804771762,0.204957102,0.235620897,0.228941203,0.818161878,0.716541519,0,0.888582102,0.831855036,0.852694611,0.835199824,0.882147534,0.837434914,0.79100384,0.824563307,0.83107849,0.216909914,0.831047246,0.910593866,0.904065484,0.823529412,0.902007857,0.917584792,0.81924485,0.731454986,0.79257964,0.896183206,0.792691612,0.811655314,0.807450358,0.826665939,0.834236602,0.81685744,0.83068841,0.820368364,0.806521504,0.832274184,0.875826917,0.811873136,0.871339937,0.824821467,0.845201572,0.838296023,0.818239593,0.819048129,0.833470192,0.879952111,0.886982409,0.828710462,0.87613903,0.844990134,0.832905586,0.840187374,0.840783498,0.887691805,0.80321849,0.840112964,0.824630437,0.834645242,0.834948285,0.806339368,0.844979832,0.86127419,0.824506186,0.808983864,0.84405564,0.864735872,0.815739587,0.815409747,0.853012557,0.809528943,0.841853902,0.341424038,0.227142542,0.341179095,0.217770815,0.261552067,0.863621533,0.256899978,0.270943563,0.874204255,0.25677235,0.22020202,0.3093022,0.848795018,0.326825625,0.824883309,0.820112158,0.847137866
D510E2,0.886759676,0.132535204,0.653131818,0.879777285,0.878889915,0.881970411,0.51968712,0.88421396,0.883050479,0.880036779,0.483908719,0.671539491,0.888582102,0,0.397676874,0.348227962,0.462804196,0.468847599,0.4709698,0.512158783,0.388850871,0.474495218,0.889190068,0.469976234,0.606458762,0.548284625,0.513290704,0.523370917,0.615912784,0.480491942,0.659460902,0.504346904,0.536581495,0.398384354,0.503908504,0.371471025,0.533940485,0.465321296,0.377855701,0.483569571,0.334279556,0.385019711,0.499525667,0.453722705,0.410458754,0.457569837,0.523809524,0.511754258,0.451046555,0.447261507,0.49412743,0.466595858,0.115476002,0.475785272,0.478119425,0.440021175,0.488807359,0.288408561,0.48123877,0.474840764,0.468137902,0.413972014,0.233768971,0.323558263,0.484934682,0.463370834,0.511500317,0.463007034,0.473073474,0.283239429,0.449516052,0.47055412,0.471185727,0.268474719,0.519125106,0.22611057,0.379086677,0.447680236,0.88232754,0.891554036,0.879515466,0.897694603,0.887215224,0.476177914,0.889287435,0.891912118,0.460986168,0.89521373,0.894056574,0.895039164,0.34338869,0.89290523,0.338714717,0.491811939,0.446055927
D310B8,0.827904185,0.371177188,0.513611809,0.815810921,0.815492112,0.820687401,0.369203803,0.82187739,0.824822307,0.818537646,0.392782678,0.523814649,0.831855036,0.397676874,0,0.503901481,0.445651592,0.465021014,0.350432831,0.474838227,0.166904724,0.363665492,0.826939843,0.446632344,0.464920189,0.373736299,0.394232301,0.360217056,0.470845404,0.492594566,0.505391342,0.475013319,0.35743527,0.287041983,0.37533611,0.289706667,0.463601533,0.452604611,0.257368646,0.438296964,0.334777326,0.253816491,0.456567797,0.441066046,0.367769906,0.444355994,0.477760777,0.494120118,0.416203041,0.38018707,0.47211197,0.464026473,0.360148581,0.476034628,0.461084159,0.443924239,0.433441992,0.289745501,0.438177183,0.484903446,0.455404043,0.384736925,0.306535325,0.473411154,0.471148756,0.444238017,0.49019192,0.439170874,0.456241717,0.41895539,0.321745601,0.483918826,0.390807637,0.403126981,0.453010513,0.337383514,0.376754455,0.425244774,0.823676215,0.833986577,0.820741385,0.852025517,0.828673024,0.469961292,0.831799839,0.833557191,0.392190153,0.84293979,0.837947189,0.842254408,0.471321432,0.839404663,0.444316517,0.521766829,0.426444375
D210A4,0.851637555,0.390455992,0.627715356,0.841504511,0.838685015,0.840453357,0.666737513,0.845750205,0.850462178,0.841744616,0.693977966,0.616237752,0.852694611,0.348227962,0.503901481,0,0.685512367,0.730920703,0.684396215,0.65043869,0.522967824,0.685987499,0.852602889,0.690241053,0.680530504,0.698940757,0.690574859,0.704949441,0.69764991,0.663486649,0.623161962,0.656451527,0.705350495,0.583328881,0.677004219,0.561009444,0.683577322,0.691067329,0.583889749,0.685952178,0.567487581,0.541851617,0.690351296,0.712124418,0.63167081,0.707262688,0.690805447,0.693293419,0.692780664,0.615591398,0.697612455,0.68903839,0.382630853,0.733431906,0.69098486,0.704933738,0.697530204,0.486977364,0.700972318,0.690378355,0.716666667,0.642992624,0.404503311,0.226281918,0.689350209,0.679694138,0.666401485,0.697894513,0.709088981,0.210269984,0.625651388,0.694582847,0.709312169,0.258863937,0.671748021,0.398640297,0.610538494,0.68720881,0.844016282,0.857127511,0.840574194,0.869313843,0.85264633,0.712497348,0.856281623,0.860045147,0.696512924,0.868067092,0.862171806,0.865189774,0.107201353,0.860794419,0.172818177,0.677093845,0.694341008
D725H1,0.832984697,0.462097723,0.595489858,0.819118614,0.814737306,0.821079239,0.379513554,0.829336861,0.832312869,0.819458155,0.312769629,0.601628664,0.835199824,0.462804196,0.445651592,0.685512367,0,0.2861129,0.29995149,0.288920056,0.442108633,0.295663884,0.834533561,0.190792291,0.551561831,0.444855901,0.390614956,0.427452243,0.565023374,0.24423666,0.596428571,0.245741308,0.45002145,0.348634233,0.379240668,0.36134273,0.273898341,0.120861373,0.335272257,0.247981918,0.367114237,0.446457112,0.257118436,0.330773333,0.338879113,0.343539236,0.241272882,0.290199608,0.326528431,0.432100052,0.253805235,0.116016151,0.44615714,0.285737103,0.263096314,0.326428763,0.197930142,0.374040062,0.193871538,0.210115685,0.282243391,0.341230214,0.452700176,0.624254473,0.215975226,0.225398865,0.286669162,0.317572639,0.329555175,0.598633646,0.405640146,0.219858914,0.358369786,0.58521123,0.314411182,0.484165715,0.360195101,0.35037899,0.825296919,0.839146447,0.82080386,0.847084708,0.8325,0.34206867,0.839231437,0.84034251,0.356772088,0.845247744,0.844493368,0.842709712,0.670271134,0.841616374,0.666860189,0.291780455,0.33950193
D625F10,0.88696794,0.448931874,0.652616903,0.874591414,0.871811713,0.877771709,0.361806369,0.880458007,0.885861521,0.876594353,0.284090909,0.663069286,0.882147534,0.468847599,0.465021014,0.730920703,0.2861129,0,0.292793999,0.42230563,0.432375093,0.302992986,0.886248156,0.281183482,0.54540621,0.439317151,0.373056443,0.392255174,0.542458809,0.363922867,0.652216007,0.386357566,0.411940299,0.387779146,0.352468548,0.387198546,0.444059115,0.259057099,0.354997591,0.333689954,0.3875,0.452176676,0.357548723,0.255752306,0.350543334,0.279344472,0.360347017,0.4266014,0.255631109,0.443166511,0.339127703,0.272435383,0.422323899,0.163588251,0.342955326,0.265375793,0.304007715,0.373939038,0.290058044,0.303310692,0.17480583,0.362340268,0.441724632,0.670758348,0.299506396,0.336349122,0.375325573,0.245870191,0.248618197,0.646859083,0.407589,0.30960476,0.301516598,0.633426892,0.399946766,0.475998761,0.387899231,0.297569776,0.882717728,0.888565891,0.875306556,0.887382462,0.886019879,0.249122807,0.88897281,0.893234217,0.292409171,0.894408937,0.891433147,0.890882307,0.722742918,0.891062764,0.718138412,0.347527546,0.272010512
D405C9,0.832921132,0.450867361,0.537624562,0.825972747,0.824929895,0.826630822,0.262155657,0.830820033,0.831919815,0.826863056,0.158778873,0.556181907,0.837434914,0.4709698,0.350432831,0.684396215,0.29995149,0.292793999,0,0.39473259,0.336529753,0.131762934,0.834687157,0.285477578,0.520854473,0.364698317,0.284056266,0.329332976,0.52548666,0.370104088,0.540223675,0.34123833,0.320875944,0.28337816,0.272736926,0.280696101,0.40664523,0.295205332,0.265433427,0.321906399,0.353088259,0.378796745,0.344463409,0.274402258,0.296241082,0.294425739,0.324584241,0.430534997,0.235473027,0.394453405,0.331089609,0.309395829,0.435579544,0.318307463,0.37117672,0.285790827,0.282169959,0.357319035,0.282199401,0.316321049,0.296393267,0.317316362,0.41248,0.616047641,0.311760316,0.352221094,0.363801388,0.287373548,0.295361127,0.57942979,0.342112307,0.354783629,0.241651132,0.588191489,0.377392792,0.431755741,0.341167752,0.273890103,0.828852459,0.840155735,0.825796562,0.850513482,0.834391448,0.317028889,0.83525714,0.837021806,0.241932037,0.846137246,0.844091786,0.842633693,0.666205723,0.841647453,0.659148398,0.375320787,0.276633935
D815A3,0.785808581,0.483440171,0.53671159,0.768539818,0.765683469,0.782451131,0.466059957,0.777031121,0.787796946,0.767536168,0.416639724,0.542801345,0.79100384,0.512158783,0.474838227,0.65043869,0.288920056,0.42230563,0.39473259,0,0.468116869,0.375423866,0.78489426,0.311543811,0.562159273,0.502440071,0.497484209,0.490938338,0.569805712,0.214627074,0.539634476,0.178972239,0.501232451,0.364952894,0.47194474,0.371929259,0.280021453,0.298617462,0.369355794,0.283286728,0.366840592,0.44697615,0.27080553,0.388723087,0.319869985,0.387141635,0.284058279,0.301306809,0.412688241,0.368464903,0.294247671,0.305826026,0.497807252,0.421609831,0.289047138,0.369295941,0.313476247,0.426562919,0.31631069,0.295983655,0.411229947,0.31910828,0.461115559,0.605395232,0.299471803,0.270704045,0.246166177,0.447825155,0.458168608,0.58944,0.428372442,0.301078714,0.42793177,0.573170083,0.289131482,0.492944594,0.364378046,0.405056539,0.785835384,0.79803009,0.784121418,0.827305705,0.789507983,0.47039333,0.794880139,0.796057619,0.414255922,0.809729496,0.802221388,0.799989423,0.63197956,0.805653154,0.603185486,0.295735459,0.421672743
